%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1585289787849952076,15021,1585289787848954536,foot_imu_link,-0.237798750401,-0.0481464192271,-0.89510256052,0.374065607786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504017353058,-0.0517984032631,-0.197244971991,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.05406856537,0.656517386436,-8.22751140594,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289787874456972,15022,1585289787873918627,foot_imu_link,-0.236496984959,-0.0554390661418,-0.895236134529,0.373561233282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616217315197,-0.181724816561,-0.186647742987,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.7521905899,0.705418348312,-7.92652702332,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289787899581385,15023,1585289787898962677,foot_imu_link,-0.236258327961,-0.0635868012905,-0.894862413406,0.373309522867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520051836967,-0.23927821219,-0.134818226099,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.54768705368,0.551115036011,-8.7875213623,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289787924506952,15024,1585289787923965158,foot_imu_link,-0.236827388406,-0.0678519979119,-0.894472420216,0.373132765293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10129082948,-0.110006578267,-0.0394615195692,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-7.47046470642,-0.486643522978,-9.95851516724,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289787949493389,15025,1585289787948871070,foot_imu_link,-0.237195536494,-0.0688389241695,-0.894307494164,0.373113542795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000444976612926,-0.0508076436818,0.0137603320181,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-5.02287244797,0.228261858225,-8.68361377716,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289787974459067,15026,1585289787973832113,foot_imu_link,-0.237997576594,-0.0684696435928,-0.894067108631,0.373246788979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0457700118423,-0.0504910573363,0.0283706169575,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.65271234512,0.349916577339,-8.49928855896,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289787999505303,15027,1585289787998876105,foot_imu_link,-0.238309919834,-0.0686451345682,-0.893942713737,0.373313099146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336515083909,-0.00420768372715,-0.00442728493363,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.78416633606,0.745697379112,-8.50924301147,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289788024580066,15028,1585289788023956303,foot_imu_link,-0.237980365753,-0.0692158639431,-0.894030332565,0.373208165169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0551163032651,0.00590112432837,-0.0417915657163,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.58652973175,0.627214252949,-8.50504398346,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289788050002418,15029,1585289788048836003,foot_imu_link,-0.237694397569,-0.0698541551828,-0.89419490099,0.37287697196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375209376216,0.00405268743634,-0.0376699604094,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.51904582977,0.481937110424,-8.3921289444,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1585289788074683732,15030,1585289788073845263,foot_imu_link,-0.23751462996,-0.070143468678,-0.894318759441,0.372640162706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00763325765729,0.00443864380941,-0.0165277123451,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.59341287613,0.347059875727,-8.41714191437,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
